,tweet_id,tweet_en_translation
219,1531180982400962566,"They raise prices a little bit, they do not like their level in prices, they must compete with other countries."
220,1531180915879456768,"The reason is that most people do not have money to buy from restaurants and eat at home, the Sultanate of Oman is living in a financial crisis and a very bad economy unfortunately this is the truth "
221,1531180638937698305,"It is preferable to change the news in terms of the cheapest and the lowest quality. Yes, there is a failure in inspecting the quality of meals in Amman. We express our deep regret at the deterioration in the health of the individual and the spread of diseases such as colon, diabetes and excessive ghee in children ( Prevention is better than cure ) continued"
222,1531180277523005440,"Could be cheaper, but lower quality and cleaner"
223,1531179938186936321,Everyone praises his goods
224,1531179677133553667,TRUE
225,1531178581862363136,"Since the topic is of no benefit, let me give you a brief about lying 👇"
226,1531177318961512448,As you like
227,1531177147267702785,similar to Gulf countries prices
228,1531176486497095680,Normal since we have the lowest income
229,1531175996333797376,This period we hear the Sultanate less and less in everything
230,1531175750451318784,Have these samples of meat or chicken been examined so that they are so cheap and how true is the news that meat in the market is expensive
231,1531175602983686144,There are high prices and there are cheap prices no bias
232,1531174974395916290,There is no better than Al-Shawam restaurants there is the original taste
233,1531174775619559425,It is all lies
234,1531174134096482305,Not true
235,1531173858669109250,Yes today I drank Karak by Rial and a half
236,1531173620696891392,"Topics that are not useful, I wish you would ask something that touches the needs of the citizen🚶"
237,1531173578078560257,Now they will raise the prices
238,1531173566250631168,yes true the cheapest Grilled chicken by 3.500 Rial !!!!
239,1531173399497678849,Cheaper because they know no salaries
240,1531173030851928064,Incorrect in price and in taste 
241,1531172413043531776,The Sultanate of Oman has the lowest per capita income of the Gulf countries 🥹
242,1531172149981069313,We've had enough of the compliment
243,1531172120453054464,"There are expensive restaurants and their food is not good, but there are cheap restaurants and their food is delicious"
244,1531172096080023552,From where you got this static go 
245,1531172009681555456,Because of the good restaurant we have Hahahaha
246,1531171347036086272,Next time use Msendo
247,1531171177430917121,lies lies
248,1531171143826255872,Right the cheapest meal is 800 Baizas from a Pakistani restaurant in Al-Rummaniyah
249,1531170698139402240,Does Oman have restaurant like others?
250,1531170624390955009,Because the people are poor
251,1531169469682397186,Impossible maybe the cheapest is the lowest quality
252,1531169271455354881,I do not know from where you got this statics
253,1531169202215739392,As for income is the highest
254,1531168857951543296,Do the statistics of which Gulf country has the highest salaries
255,1531168187257061376,The most important thing is the quality of the food
256,1531168176628703234,It doesn't matter if it's cheaper
257,1531167707059458048,No comment
258,1531167687308607489,Because Oman have the lowest salary 🙃
259,1531167266666160128,Burger by 4 Rials
260,1531166865673838593,The price of our food depends on our salaries
261,1531166828080373762,Ok we will tell them
262,1531166791380176896,Barata before 30 by Rial
263,1531166389918113793,Now they increase the prices
264,1531166279792467968,I think the one who compared it between the Bengali restaurants in Oman and the fancy restaurants in the Gulf and said that they are cheaper
265,1531166208644489216,We have restaurants where the price of sandwiches is 200 baisa and there are restaurants that cost 10 riyals
266,1531166004499324928,It's not true just pretending and deceptive propaganda
267,1531165944239620096,Leave the news a secret tomorrow they will increase the prices because it is cheap
268,1531165482027458560,😂 😂 😂
269,1531164976119009281,The quality varies and if there was a proportion between the salaries and the prices of restaurants they would find that the meals are expensive compared to other countries
270,1531164515768881152,I do not know from where you get this study
271,1531164389411274752, Sultanate of Oman has the lowest salaries in the Gulf countries
272,1531164014373490690,"I took dinner, lunch and breakfast in the Kingdom of Saudi Arabia for less than the prices of the Sultanate of Oman .. What is the criterion that was evaluated .. Or is it intended in the evaluation of tourist restaurants"
273,1531163958769602560,Barata Dal
274,1531163895292903424,"The cheapest restaurants, the cheapest internet, the cheapest oil, the cheapest electricity, etc... and the people are still suffering"
275,1531163815957741570,It is good to tell them to raise prices
276,1531163673997332482,In Heikal Restaurant has biryani riyal it is impossible to find this price in the Gulf
277,1531163578400706560,Complete and said the lowest salaries in Gulf countries
278,1531163528089985025,If the sandwich has a little bit of chips and sauce it becomes a riyal and a half
279,1531163160471904256,Less quantity and smaller in size🌚
280,1531163156332027905,McDonald's increases their meal prices everyday
281,1531163086966730752,Honestly lias Bahrain and Saudi Arabia are a thousand times cheaper and tastier
282,1531163030079393792,And the lowest salaries and welfare for the citizen as well..
283,1531162910797479937,You took the opinion of non-Omanis.. But the opinion of the Omani is the opposite of this
284,1531162910575190017,The lowest salaries in the Gulf countries
285,1531162497151008769,"One of the restaurants in Maabila, the price of a burger is two riyals or more without chips without a drink and the size of the sandwich is like finger"
286,1531162455031808000,Cheaper but not the same quality as their restaurants
287,1531162402212945920,"The Sultanate of Oman has the lowest salaries in the Gulf countries. Therefore, no matter how cheap the meals are in your view, they remain expensive compared to the level of income."
288,1531161961253294082,The Sultanate of Oman is the lowest Gulf country in salaries.
289,1531161904118382593,You are trying to show it better people know and understand everything there is no need to pretend we know it and we know what is in it and we know the Gulf countries and what is in them
290,1531161837844275202,Right we tried the food and knew the prices
291,1531161682914975745,Restaurant could not raise prices
292,1530857431185637378,🔴 The number of females is less than males in the Sultanate of Oman.
293,1531828842029006848,it is all a lie
294,1531695060877721601,This is with counting the immigrants of course
295,1531646203745783808,I think this static wrong females more
296,1531606142098481152,There is not much left and we will reach them God willing
297,1531397958134112256,Very close things good
298,1531321010141773825,Hurry up to book. Limited quantity 😶‍🌫️😶‍🌫️🤭
299,1531300857911844865,Unreasonable and baseless talk . The proportion of females is greater .
300,1531278451080151042,They become extinct or what every time I go to a place I find all of them more women than men🤣🤣
301,1531269412996644866,80% of those in the streets are driving girls according to the testimony of people from abroad
302,1531268093946777600,But the difference is 1% we consider you equal no one gets upset
303,1531246378680213505,No difference
304,1531222436666023937,Each one can marry only one😅
305,1531219441488474112,They are going extinct we must make them a protectorate
306,1531211111852302337,These stats are incorrect
307,1531206843376312320,Marriage from abroad is a major calamity planned by the enemies of this country mixing genealogy has negative repercussions in the future we ask God for wellness.
308,1531191373998993410,The population not the citizens. Bring of the citizens and you will find females more not only in Oman but in the world
309,1531179246038790144,Bring us export haha
310,1531163624454111234,Let us get marriage from abroad we get engaged 20 times and they refuse
311,1531154097671397379,🤣 And I say why every time I go to a place I find many males you more than us Mashallah
312,1531145626959892481,"Due to the large number of university bus accidents, the number of females decreased"
313,1531141768409931778,We need to import from abroad to cover the deficit and prevent monopoly
314,1531141306172456960,The polygamy argument is over to reduce spinsterhood
315,1531117865180479488,import females..the world is full..
316,1531115046885068800,Are these statistics reasonable
317,1531067900768944133,I don't think it's a valid statistic. Do you count tomboys with the males?
318,1531038239162880001,Good then let us get marriage from abroad 💔😂😂😂
319,1531038198159245316,Yalla since you have international relations with Iran
320,1531022134536970241,Impossible of course
321,1531016885495554049,Where did you get this percentage from I expect you have published a few months ago that the number of females is greater than the number of males  do you think we are stupid or what?
322,1531001154485764097,Let us marry from neighboring countries
323,1530994259440058368,Calamity everyone notices a his son
324,1530993322176700417,Again
325,1530984409230364677,No way this study is incorrect
326,1530983979188469760,😳😳😳😳 and now???
327,1530982965337108480,Ok what is the solution now🌝🌝🌝
328,1530971759297568771,Who dies in accidents?
329,1530965169123246080,Why is spinsterhood increasing There are those who are over the age of thirty and have not married. Where are the men
330,1530961746994814977,Ha-ha-ha-do you remember the famous lie? The number of females is greater so they marry four to reduce spinsterhood? 🤣
331,1530958820679241729,So the female team is incomplete 😱😱😱
332,1530942921653903360,Therefore the prices are high due to the shortage. 😂
333,1530942702652628999,Good to change the offspring 
334,1530936142278889475,Therefore marriage from abroad should be allowed
335,1530934920419344384,Where is the statistic source
336,1530933301900365825,it is all a lie talk of media without evidence
337,1530932181643706368,I do not think so Check the count again
338,1530925654103011333,really😳😧
339,1530925408358739968,Open a large mall and make discounts
340,1530924575839637505,let us married from abroad
341,1530915069353201666,This news is incorrect
342,1530913782964297728,Since I was born I have seen the statistics that males are more than females..
343,1530913290993508352,Let us get marriage from abroad 😍
344,1530907836133392384,I dont think so
345,1530907439394131968,Truly nonexistent 😉
346,1530898578796945408,Therefore it will become easier to obtain permits for marriage from abroad
347,1530898096481349633,I can't believe
348,1530896941655154688,It is time to travel to Bosnia 🇧🇦 😅
349,1530896364049162240,🙆🏻 ♂️ how is that
350,1530895238125993984,"He also marries two, three and four"
351,1530895077454884865,Nobody knows you
352,1530894807446560769,I expect this study and census are incorrect because most families have more females than males and this is found in most areas and villages.
353,1530893426807517184,Ok bring us immigrants we want them 😍
354,1530890833163075586,"So that they do not become extinct, preserve them"
355,1530890733086973952,Good bring from abroad
356,1530890259579412480,This information needs to be reviewed in terms of the percentage of males or
357,1530884580076576771,Even if the percentage of females is lower due to unemployment males will not marry and spinsterhood will remain.
358,1530880931795435521,But the spinsterhood rate is high
359,1530880570649083904,Every house has 4 or 5 children but one of them is a boy and the rest are all girls I think you still don't know the country's statistics from the day we were in school they said the population was 2 million and when our children got married they say the same thing when you get educated.
360,1530880428533600257,Do you count travelers?
361,1530877506575810561,That's why they are spinsters at home
362,1530876945063460870,If you count the total number it is natural that most of the workers are men but the reality is that Omanis are more women
363,1530876386709315584,Hit them better so that they have females
364,1530875659471429632,That's why I didn't find a wife
365,1530873236673765376,Nice stats but not accurate
366,1530873049121161216,Understand the news they did not said Omanis male more than female they said in Oman
367,1530871807364026368,really??
368,1530871106852225027,First time we beat them 😂
369,1530869989560950784,When their number was greater they said polygamy.
370,1530868722864476162,This is unfair.. Where are the rights of women (memorize without understanding 🌚)
371,1530867322025558017,They have no excuse to say polygamy number of females is few
372,1530866948342525953,Not true ...
373,1530866632796536835,Market price will increase
374,1530866192306651137,Previous study was the oppisite
375,1530865992863449088,Let us get marriage from abroad 
376,1530865702462279682,Everyone wants to get married
377,1530865616285999104,That means no second or third 😊
378,1530865587857108994,However the number of female job seekers is higher than males
379,1530864934455746560,In the whole world the proportion of females is less than the proportion of males
380,1530864464047886336,Tomboy was counted with our team ?
381,1530864004679311361,And the study before it encourages polygamy 😂😂
382,1530863542827622401,Is it only Omanis or expatriates with them . Exactly if with expatriates the proportion of males is more
383,1530862536215740416,I know males this statistic caused them a psychological crisis
384,1530861914536001536,let us married from abroad
385,1530861553901355008,No one marries more than 2 or else it will run out on bachelors
386,1530861076870582274,I dont think this true... Females more then males
387,1530860799413059584,Who fell from the lemon tree and broke which team have they become? Sometimes they wear women's clothing
388,1530860236210376704,"spinsterhood will decrease ,, "
389,1530860179725639683,TRUE
390,1530860001492877317,Statistics from Al-Watan newspaper
391,1530859618284367873,Better
392,1530858804375695360,38% foreigners
393,1530858718279221249,You tired us a lot and a lot
394,1530858018870636549,Because of the male immigrant workers
395,1530857620738916352,The best of this nation are the most women
396,1534981094268977154,Oh God 🙂 I hope you control this time
397,1532605179870253059,"My parents made tourist villages and places to relieve our concerns here and villages in Salalah, and the most important thing is bathrooms and a place to sit"
398,1531603215292194816,As if the juice had gone too far
399,1531552570493247493,When is the World Cup in Qatar???
400,1531415244341399553,Olympic villages once in a while it's like you're in a little rush
401,1531344688405413889,The news was saved until the World Cup and we'll see
402,1531315091160936449,You are in Oman more than 30 years later than the country you have you come and set up an Olympic village in Qatar!!
403,1531314345933684736,"Beloved, 5 months remain 😳😂"
404,1531303597362880513,I expect they will do it in the Qurum Nature Park... He brings a few workers to clean the heritage village and hang the flags of the countries qualifying for the World Cup.. some balls... and walk around
405,1531302651039735810,I ask God's forgiveness and repent to Him.... God bless you
406,1531302304409915392,"I believed you, see how the rest of them are..!!"
407,1531284611807993858,May God be with the Omani people as long as this type of human being is present on the pyramid of ministries and influential people
408,1531276217013387267,I find you in a hurry Better start in 2023
409,1531251004800483329,"The minister only stated that he went to establish Olympic villages - the men did not give the chance again. He declares once again that the construction of the Olympic villages has been completed - Guys, let us work silently better than envy"
410,1531215001930850304,I wish to cancel the Ministry of Tourism from my point of view
411,1531210001284489223,I know he's going to do an Olympic heritage village
412,1531209929327054848,So let him hurry up because there are only a few months left for the World Cup
413,1531206682046611457," The last thing he wants is followers and likes 🤣🤣 And a field we watered, and a field watered by rain 😜"
414,1531202519132737536,What's up with the old man
415,1531186723543298048,Good morning 🖐️😂🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️
416,1531186572493717504,"I mean, an Olympic village with prostitution and liquor, or what does he mean exactly ‼️"
417,1531183415218819073,Is there still time??? We are waiting November better???
418,1531182278650601472,"This is a directive, and after that you will study its budget and location, and then the tenders will be released, and then the tenders will be opened, and then we will start this if the tender owner leaves them! maybe Brazil took the cup, and everyone goes to their house!!"
419,1531181963230556160,I swear to God it is forbidden for this age to leave him in his position
420,1531181559650320385,First let him do toilets on Salalah Road and inside Salalah said olympic villages said
421,1531177225650950144,"These words you have not said before, except from the proximity of the World Cup"
422,1531174620191137793,I wish he was silent
423,1531171394456797186,Worst calamity makes one laugh 😂😂😂 Talk to the wise as he can comprehend
424,1531164986898321411,11/21/2022 Just a reminder
425,1531160028043952131,It is difficult to dream and explain your dream to the public 🥲🥲🥲🥲🇴🇲✋🏻
426,1531155821224202241,swear?
427,1531152878429257730,"Even in statements they use intelligence so that if someone comes back with the memory and wants to speak, they can respond to it"
428,1531152714171826177,"He did not say that we have accomplished or that we will accomplish. He said there is a trend, which does not necessarily mean that it will build and prepare what he promised you"
429,1531152429793873921,"Our confidence in you is great, and Oman deserves a lot of good, and you are mandated by our guardian and our redeemed authority to advance the tourism sector and achieve a qualitative leap. We want, Your Excellency, statements coupled with evidence, because there are those who are pretentious, spiteful, and pessimistic about what is beautiful for this country. We ask God to grant you success and payment."
430,1531151613884354560,"It is almost impossible to complete an Olympic village in this short time. We are simple projects from half a century that were not completed, so what about 4 months???!!! When they ask him where the Olympic villages are, we didn't see anything. The answer is ready. The consultants were late for us, and the time was very short, on the basis that they had no news that there was a tissue."
431,1531146330088906752,First we build residential villages
432,1531146303765458946,"So slow sterile thinking and planning, work silently until you quit,"
433,1531145361649291265,I am sure that you will have enough time...or you will make the villages out of wicker 😂😂
434,1531143709428834304,Is there time?!
435,1531124747949461505,Too early
436,1531010271510155265,😂😂😂😂😂😂😂
437,1531008359356321795,It's all a lie
438,1530935014757736459,Hahahahahahahahahahahahaha 😭😭
439,1530893901782974465,How much is his salary??
440,1530889294478462976,too early 😂😂😂😂
